train,val
"[0.30029642745989177, 0.21169808342916155, 0.21051910396562803, 0.20928758765579364, 0.20792269364956323, 0.20637124230008608, 0.20518842216478575, 0.20448314665107553, 0.20405759368467768, 0.20407683559513967]","[0.19840422543612393, 0.1977560736916282, 0.19744139232418753, 0.19716751440004868, 0.19783985750241714, 0.19850461862303995, 0.1995937539772554, 0.20024774155833505, 0.2005752677267248, 0.20148252898996527]"
"[0.20379719493585988, 0.2042488797542152, 0.20322132971855478, 0.20327916126185602, 0.20311207372114198, 0.20288799935524618, 0.2030122984166539, 0.20265783191820896, 0.2025327785026043, 0.20251613568275348]","[0.20085644044659354, 0.20201687108386646, 0.2015457884831862, 0.2019703591411764, 0.2017475745894692, 0.20226423984224146, 0.20211611688137054, 0.20181449299508875, 0.20196866311810233, 0.20235592397776517]"
"[0.20298134009225652, 0.20263321451637722, 0.20242693719513918, 0.2024152943984084, 0.2019724206776794, 0.20254380440493241, 0.20233709536014347, 0.2023579308746058, 0.20210413580093908, 0.20170390195802812]","[0.20152303847399625, 0.20206113430586728, 0.20186568254774268, 0.20147357203743674, 0.2017880935560573, 0.20252686874432999, 0.20196440138600089, 0.20255177129398694, 0.2035255879163742, 0.2024787190285596]"
"[0.20183990430941276, 0.20162814281402378, 0.20232157559569822, 0.20225427798721768, 0.2015492281098978, 0.20128662665502742, 0.2013544753330563, 0.2011039164088188, 0.20099416279464688, 0.20083785371496043]","[0.2020304717800834, 0.20208350907672534, 0.20306023413484747, 0.20301824808120728, 0.20241274346004834, 0.2025139805945483, 0.20290491797707297, 0.20258992503989826, 0.20321445844390176, 0.20315959507768805]"
"[0.2014762269794394, 0.2011368939089119, 0.20110800260797554, 0.20084082560801725, 0.20135813035549374, 0.2008393737701101, 0.2008751676580228, 0.2009452869175771, 0.2009951354713615, 0.20039170337926357]","[0.20348144525831396, 0.20243415236473083, 0.20343468405983664, 0.2026797803965482, 0.20437340167435733, 0.20279808884317224, 0.20278736678036777, 0.20327545702457428, 0.20341145450418646, 0.2030772309411656]"
"[0.20135324154425105, 0.20082416816042103, 0.2008171748677525, 0.20037568134999056, 0.20047885261544393, 0.2001035249014513, 0.19999626135333962, 0.20045286020554534, 0.19990116207424655, 0.19972882727417376]","[0.20400249009782617, 0.20294447514143857, 0.20366284251213074, 0.20318829877810043, 0.2036517099900679, 0.20388826727867126, 0.2031824548136104, 0.20433048497546802, 0.20339384268630634, 0.20382779294794257]"
"[0.200397552290094, 0.20054096407299743, 0.2000225386625036, 0.20021720449312017, 0.1998205342834149, 0.19976123265170176, 0.19955637804958798, 0.19939444576381543, 0.19972566897989413, 0.19946787335457059]","[0.20330044356259433, 0.2038643942637877, 0.203397811813788, 0.20377479900013318, 0.20490581609986044, 0.20417604392225092, 0.20387874137271533, 0.20419361239129846, 0.2044023952700875, 0.20491265031424435]"
"[0.20023811116404489, 0.20028450989395108, 0.1997790361216309, 0.19929342094911348, 0.19935400606295384, 0.19941141928007844, 0.19915160461576706, 0.19915189218083654, 0.19880219357549597, 0.19882498777240787]","[0.2039309022101489, 0.20418267358433118, 0.20470170270312915, 0.20416826009750366, 0.20482597025957974, 0.20396113124760715, 0.20437032119794327, 0.20467581938613544, 0.20450260964306918, 0.2043871066787026]"
"[0.20031603692321603, 0.1995346752602026, 0.19952054007337727, 0.1993271517097403, 0.19928003683549547, 0.19938374413262813, 0.19907474435797526, 0.19867896705592444, 0.19885465789825543, 0.19847512327202962]","[0.20502501319755206, 0.2048294259743257, 0.2035901830954985, 0.20564197410236706, 0.20540954714471643, 0.2047623097896576, 0.20448474721475082, 0.20407995852557095, 0.20421172813935715, 0.20449695803902365]"
"[0.19997199973381988, 0.19944994315641737, 0.19900438367226803, 0.19909126318376, 0.19888266756993914, 0.19887017328804785, 0.19850123051656496, 0.1983282784803198, 0.19852627362679998, 0.1983584409596723]","[0.20480254834348505, 0.20491176843643188, 0.20477291399782355, 0.20488247817212885, 0.20475916835394772, 0.20562224902889945, 0.20522393015297977, 0.2050765414129604, 0.20557848025452008, 0.2062473635781895]"
"[0.19954808015342151, 0.1989394091411468, 0.19877193881831037, 0.19891955689826143, 0.19854829412534697, 0.1984757709940639, 0.19830865419785912, 0.1979768267328586, 0.19806128261833017, 0.19820688295801844]","[0.2044798122210936, 0.20524913343516263, 0.2054812569509853, 0.20655112781307913, 0.20507334037260574, 0.2055823870680549, 0.20554920895533127, 0.20523601093075491, 0.2066725411198356, 0.2055419683456421]"
"[0.19933586260047528, 0.199055672443788, 0.198771116110163, 0.1987610308949007, 0.1984764688878978, 0.19809655571749452, 0.1978654486870547, 0.1980948866507329, 0.19774065378609054, 0.1980165664892678]","[0.20508031276139346, 0.20593818073922937, 0.20528468896042218, 0.2055880684744228, 0.2050903087312525, 0.20543976669961755, 0.20666647363792767, 0.20656714520671152, 0.20551399073817514, 0.20624004168943924]"
"[0.1993123675705096, 0.19874108685265987, 0.1983591171853039, 0.19810394074665297, 0.1980069853843899, 0.19821580697637087, 0.19813178479671478, 0.19787212673130386, 0.19773020403921057, 0.19746174772671604]","[0.20531809329986572, 0.20553898946805435, 0.20544265346093613, 0.20789668776772238, 0.20563744821331717, 0.207050853154876, 0.20616330341859299, 0.20581626350229437, 0.20687077262184836, 0.205928466536782]"
"[0.19913888182661948, 0.19870467046532062, 0.1982247684526881, 0.19809872691237598, 0.19798387764790737, 0.19759259789908698, 0.19751491493314777, 0.19760226909447154, 0.19748948999774565, 0.197436768048947]","[0.20560657707127658, 0.20603506402535873, 0.20500504157759927, 0.20581217787482523, 0.20539111711762167, 0.20582043718207965, 0.20593412220478058, 0.20571410655975342, 0.20569176565517078, 0.20688366889953613]"
"[0.19858579652025066, 0.19791912499370926, 0.1981290992383563, 0.19756520054209123, 0.19762067893229493, 0.1969516146757187, 0.19742832066269095, 0.19730253244211915, 0.19706386457616037, 0.19718569954600904]","[0.20589781484820627, 0.20635536177591843, 0.20633548362688583, 0.20550286769866943, 0.20681774616241455, 0.20564434745094992, 0.2072016935456883, 0.2072899883443659, 0.2065182707526467, 0.2064059010960839]"
"[0.1982641013663843, 0.1981672588564934, 0.19720299582962597, 0.1979010650597581, 0.1973936254961775, 0.1974661013948808, 0.19738208372658544, 0.19680181138832634, 0.19715101155666037, 0.19683264483005627]","[0.20639479837634347, 0.20676786384799264, 0.20689696208997208, 0.20643959126689218, 0.2050557624210011, 0.20556761595335873, 0.2071791629899632, 0.20722481066530402, 0.20651701228185135, 0.20820271156050943]"
"[0.1981110110058697, 0.1979746165762254, 0.19740259114208572, 0.1980098225518104, 0.19775625236264063, 0.19722606091324343, 0.19697406546238366, 0.1966507501831842, 0.19674479113806279, 0.19683672009258096]","[0.20512424273924393, 0.20582715354182504, 0.20609176023439926, 0.20687444643540817, 0.20662070268934424, 0.20665106177330017, 0.2051711299202659, 0.20722575350241226, 0.20683070746335117, 0.2065978781743483]"
"[0.1980718810350523, 0.1974374660794888, 0.197535677513945, 0.19748430008735132, 0.19685843368189052, 0.19706041277001757, 0.19728079697954545, 0.19639518077767223, 0.1965750097681623, 0.19633770091544597]","[0.20791663364930588, 0.2058132697235454, 0.2070011875846169, 0.20881546356461264, 0.2072743448344144, 0.20689845356074246, 0.20710345696319232, 0.20699600333517248, 0.20664918693629178, 0.20717100392688403]"
"[0.19816828676319997, 0.1973636225549453, 0.19718759308714384, 0.1968915403709499, 0.19748138110025212, 0.19698502137026655, 0.19697550513328763, 0.1966505175746909, 0.19611926219605524, 0.19666432965239253]","[0.20589730143547058, 0.20700866661288522, 0.2070592845028097, 0.20647027411244132, 0.2060788951136849, 0.20595751702785492, 0.20750794627449728, 0.20668751136823135, 0.20627345144748688, 0.20705970038067212]"
"[0.19734662730212604, 0.19725464134041323, 0.19682420270705442, 0.1970096146431538, 0.19739138615240745, 0.19718175907747462, 0.19669588860295234, 0.1963176745066949, 0.19625354141270349, 0.19660798303031046]","[0.20637645911086688, 0.20640494471246545, 0.20655468919060446, 0.20638717710971832, 0.20602547038685193, 0.2078822200948542, 0.20664679597724567, 0.20689170468937268, 0.20824773067777808, 0.2067843350497159]"
"[0.19759299025076246, 0.1972579548665143, 0.19722004084412112, 0.1971751190380219, 0.19661350192826824, 0.19712587452809746, 0.19648765212078706, 0.19633963232466933, 0.19632444899836812, 0.19594619361632462]","[0.20604860918088394, 0.206217883662744, 0.2056232988834381, 0.20685713264075192, 0.20688587427139282, 0.20711257647384296, 0.20819091390479694, 0.2070479149168188, 0.20607878538695248, 0.20669433068145404]"
"[0.19758135469955043, 0.19738616719158417, 0.1972445723933911, 0.1975691056032793, 0.19704721403231315, 0.19673486176980745, 0.19643276410365323, 0.19656169216293806, 0.19622407108545303, 0.19661364075514154]","[0.20616535300558264, 0.2070640352639285, 0.20613465119491925, 0.20772648399526422, 0.2070444795218381, 0.2064476880160245, 0.2086720127951015, 0.2065434063022787, 0.20673914660107007, 0.206853217699311]"
"[0.1975671000983737, 0.19701964346640702, 0.19693800909530132, 0.19670905569277772, 0.1965760973478676, 0.19661508821839585, 0.19638655840530309, 0.19624254695319254, 0.19632950760082368, 0.19616274809071776]","[0.20637195218693127, 0.20661654662002216, 0.20667085457931866, 0.20656397532333026, 0.20742995630611072, 0.20771388845010239, 0.2070332413369959, 0.20699728618968616, 0.2065954411571676, 0.20717594569379633]"
"[0.19719393517172665, 0.1974071615606273, 0.19715073431303742, 0.1971777394550656, 0.19691796833222067, 0.1961877186774114, 0.1964407440172423, 0.19633298784220984, 0.19614651512115375, 0.19639946431468386]","[0.20609128881584515, 0.2076988396319476, 0.2061027450995012, 0.20734220472249118, 0.20696700567548926, 0.20627159557559274, 0.20696370980956338, 0.20782935077493842, 0.2072451412677765, 0.20643207159909335]"
"[0.19739019993795168, 0.19693930775200555, 0.1967526093262051, 0.1968918275942496, 0.19652313376785419, 0.19664111405337623, 0.19639271101273528, 0.19616191711174238, 0.19629412185434902, 0.1960215428416882]","[0.2062419205904007, 0.20697792958129535, 0.20763095671480353, 0.20802341266111893, 0.2062189904126254, 0.20643771507523276, 0.20775865424763074, 0.20689572258429093, 0.20804366740313443, 0.20722744952548633]"
"[0.19773040752892102, 0.19737288588230764, 0.19664366023802976, 0.19678108284779644, 0.196530351466542, 0.1966831574746228, 0.19614667411244244, 0.19605703091402665, 0.19595134736747916, 0.19599260799928542]","[0.20796395567330447, 0.2074329053813761, 0.20651996677572076, 0.20699887654998086, 0.2073395699262619, 0.20708849348805167, 0.20684325695037842, 0.20675309137864548, 0.2070328945463354, 0.20703354477882385]"
"[0.19734407332512216, 0.19736324647151002, 0.19668582792675823, 0.19693545422969608, 0.1968899499112313, 0.19632243330872387, 0.1960002577632939, 0.19616335151939218, 0.19630324977253555, 0.1958466373178937]","[0.20811897245320407, 0.20624348656697708, 0.2072635062716224, 0.20689395882866599, 0.2074988050894304, 0.2060817168517546, 0.206438193267042, 0.20693968371911484, 0.20833060416308316, 0.20720051229000092]"
"[0.19744440612442996, 0.1967953495476224, 0.19670881563370382, 0.1968111237938251, 0.19642659078497404, 0.19681611390562231, 0.19624984688168273, 0.19683602363418, 0.19621257907753692, 0.19606686130576179]","[0.20779732411557977, 0.20592105117711154, 0.20627776330167596, 0.2068857726725665, 0.20763808353380722, 0.20591498098590158, 0.20832434838468378, 0.20880167186260223, 0.20738793232224204, 0.20729976215145804]"
"[0.19716424235236754, 0.19714765975234705, 0.1969275493687446, 0.19663773832518025, 0.196297555478341, 0.1965369196659928, 0.1961956680367846, 0.19596010897684535, 0.19641094333534942, 0.195869949432688]","[0.20602431351488287, 0.2057801755991849, 0.20705211027102036, 0.20713608373295178, 0.20619284293868326, 0.20808027684688568, 0.20747062292965976, 0.20695775069973685, 0.20817071334882217, 0.20786167952147397]"
"[0.19711693014026782, 0.1970633220508558, 0.19639402668957318, 0.19634200823963235, 0.19649904569901458, 0.196580219842972, 0.19629679114446727, 0.196323428747304, 0.1962693746483654, 0.19570117423293787]","[0.20719011398878964, 0.2059771784327247, 0.20669904215769333, 0.20768782631917435, 0.20934714783321728, 0.2090490758419037, 0.20761845734986392, 0.20884385975924405, 0.2082284688949585, 0.2081699086861177]"
"[0.1975897853390886, 0.19686366248568263, 0.19687465147687755, 0.1965399821963879, 0.19624897324984228, 0.19642894106720565, 0.1961708044240234, 0.19574615400318707, 0.19568909978101012, 0.1958289965303666]","[0.2074517241933129, 0.2068757631561973, 0.2079144770448858, 0.2084968713196841, 0.20719132911075244, 0.20640910349108957, 0.20660139484839005, 0.20651249993931164, 0.20814310285178098, 0.205828071995215]"
"[0.19738271654745854, 0.19694708451765394, 0.19690734790552647, 0.19623058425997375, 0.1961588137740389, 0.19644389950900998, 0.19600418196358813, 0.19594163994450087, 0.19628867165211145, 0.19597609532535623]","[0.207251023162495, 0.20754136686975305, 0.20616140961647034, 0.20646946809508585, 0.20712469518184662, 0.20631911944259296, 0.2067981944842772, 0.2070126709612933, 0.20664758438413794, 0.20663963800126856]"
"[0.19717592014632093, 0.19698689228624378, 0.1963515881824931, 0.19674034977177962, 0.19617131140527375, 0.1959586037545029, 0.19600244167201017, 0.196225316289368, 0.19592547908835456, 0.19586615893272086]","[0.20717541196129538, 0.206922709941864, 0.20567450333725323, 0.20648575912822376, 0.2062907340851697, 0.2080579779364846, 0.20817075805230575, 0.2077230621467937, 0.20791558514941821, 0.20611357282508502]"
"[0.19706956782472243, 0.1971205954157978, 0.19688381418722486, 0.19631278289294024, 0.19648495904349406, 0.19633076852614725, 0.19597989765055682, 0.19590731115516172, 0.19593700766563416, 0.19542647064278978]","[0.2068098160353574, 0.2073107050223784, 0.2069756348024715, 0.20707913826812396, 0.2075408615849235, 0.20821920443664899, 0.2080195884812962, 0.20643546364524148, 0.20804281532764435, 0.20688399266112933]"
"[0.1973304230412212, 0.1969990331098574, 0.1967873463936902, 0.19613321932083969, 0.19651777194727452, 0.1959787864203847, 0.19627804890138292, 0.19582059336911647, 0.19583588305416458, 0.19542187910287753]","[0.20682966031811453, 0.2073123509233648, 0.2079685994169929, 0.20752833512696353, 0.20653917437249963, 0.2071548727425662, 0.20772355117581107, 0.20697475563396106, 0.20714003795927222, 0.2073816345496611]"
"[0.19753596200308668, 0.1971788603914987, 0.19615153852132483, 0.19605012716503317, 0.1961072041490756, 0.19609364170000093, 0.19592356292206212, 0.19584350219560326, 0.19576510910047304, 0.19619028167713673]","[0.20638064633716235, 0.20674733140251852, 0.20609324222261255, 0.20647141337394714, 0.20776972445574673, 0.20827908407558093, 0.2074852301315828, 0.20695797150785272, 0.2069082043387673, 0.20619551024653696]"
"[0.1969004299389113, 0.1969266596737258, 0.1960323424240865, 0.1964776118140702, 0.1964222955594369, 0.1960037734120264, 0.19588449816091344, 0.19552417441245612, 0.1957765217494527, 0.19600673935828952]","[0.20699359476566315, 0.2077186107635498, 0.20595275949348102, 0.20846176960251547, 0.20859698273918845, 0.2081207118251107, 0.20711034536361694, 0.20695634863593362, 0.20743248543956064, 0.20674963024529544]"
"[0.19750907128557152, 0.19663813600846386, 0.19691165147024556, 0.19592419526445756, 0.19610091394514118, 0.19622951048776643, 0.19568312639763596, 0.19568696426689078, 0.19554107144064858, 0.19567901935052434]","[0.2069753110408783, 0.20689297670667822, 0.20832161063497717, 0.20730812712149185, 0.20731249858032574, 0.20660714263265784, 0.2070551636544141, 0.20771854303099893, 0.20744481953707608, 0.20680199292573062]"
"[0.19697776833258637, 0.19669208162968313, 0.1963612888384303, 0.19624420938962098, 0.19605423387037504, 0.19588697790552717, 0.19581203511275283, 0.19579801578587347, 0.195475871273137, 0.19588721919497218]","[0.20686788586052982, 0.20581088147380136, 0.2079479694366455, 0.20701424912972885, 0.2076339288191362, 0.20739166709509763, 0.20796534689989957, 0.20946385237303647, 0.20756280422210693, 0.20660495351661334]"
"[0.19697448447209978, 0.19667993800355754, 0.19651622140626296, 0.19624511261872196, 0.19683584311139693, 0.1965697042712378, 0.19578262356989976, 0.1955914599906414, 0.19582740224282677, 0.19539239975290562]","[0.20621269128539346, 0.20739619569344955, 0.20722408863631162, 0.20776993036270142, 0.20714486187154596, 0.20916603641076523, 0.20744914629242636, 0.20814793624661185, 0.2068694829940796, 0.20814516869458285]"
"[0.19711059796700783, 0.19645328108870655, 0.19626015711814984, 0.19664248386654284, 0.19653382077129608, 0.19601826793556915, 0.19575598801768154, 0.19557137363547578, 0.19569451519108694, 0.19510961699923243]","[0.20679488913579422, 0.20746642486615616, 0.20658411221070724, 0.20721482282335107, 0.20786794071847742, 0.2073086215691133, 0.20917144146832553, 0.2075142887505618, 0.2080693244934082, 0.20753606205636804]"
"[0.19728111147607139, 0.19655571126062935, 0.1963668014478246, 0.19625548498893003, 0.1958869964978017, 0.1959530991425208, 0.19558195537383402, 0.19549175379199718, 0.19572372775559033, 0.19540688135755171]","[0.20747280527244916, 0.20762408727949316, 0.20740316943688827, 0.2083394148133018, 0.20678683709014545, 0.20843425664034756, 0.2072164836254987, 0.20795041051777927, 0.20929555865851315, 0.2083459415219047]"
"[0.1970099247650269, 0.1965267875599205, 0.1960586055156288, 0.19639632939745527, 0.1953995536090037, 0.19597213366709718, 0.1960710025298486, 0.1956298728601648, 0.19543438712391284, 0.19542401092588355]","[0.20769298483024945, 0.20592834597284143, 0.2083938162435185, 0.20794090222228656, 0.2080338786948811, 0.20720751854506406, 0.208953781561418, 0.20820259776982394, 0.20756364410573785, 0.20751237056472085]"
"[0.1968374864770732, 0.19643922956711654, 0.1965440663449261, 0.19601877669402218, 0.1958994382155051, 0.19589806402768564, 0.19586215872283375, 0.1951700263067123, 0.1959816239979289, 0.1952892625960735]","[0.20721153237602927, 0.20711772550236096, 0.20832646841352637, 0.20722628317096017, 0.20721729235215622, 0.2076158645478162, 0.2072504460811615, 0.20756850188428705, 0.20796520872549576, 0.20744674314152112]"
"[0.19701850715033506, 0.19639494222238524, 0.19642820899639654, 0.19567068112552713, 0.19581775066502596, 0.19563004866652534, 0.19585862926660327, 0.19548824347487284, 0.19585329280533922, 0.1952699463848674]","[0.20796775140545584, 0.20750211450186642, 0.20827207375656476, 0.20642592148347336, 0.20640656893903558, 0.20724369450048966, 0.20734856480901892, 0.20671352608637375, 0.20852351595054974, 0.20832924815741452]"
"[0.19717219116490917, 0.19650088264307844, 0.19626425015270163, 0.19591898696685056, 0.19572902347789992, 0.1963018777720425, 0.195607021997828, 0.19568761294588036, 0.19565471972620815, 0.19522602391352348]","[0.20777349986813284, 0.20747485621408981, 0.20808451148596677, 0.20690682259472934, 0.20679456266489896, 0.20863035727630963, 0.2079728435386311, 0.2074512460015037, 0.20801479708064685, 0.20971506698565048]"
"[0.19667614340235334, 0.19644179735161843, 0.19618688619464908, 0.19577274984176005, 0.1957585700198051, 0.195826948235888, 0.1955971150496684, 0.1954342623779533, 0.19535629642665933, 0.19516370137897107]","[0.2069203948432749, 0.20695015652613205, 0.20694297823038968, 0.2072975066575137, 0.20722738043828445, 0.20813893594525076, 0.20806419984860855, 0.20805836807597766, 0.20759170705621893, 0.20793127742680637]"
"[0.19704081364181064, 0.1959290197546329, 0.1962943674500929, 0.19594513659083515, 0.19614075534387465, 0.1959679309928089, 0.1955269625700942, 0.1952745980079021, 0.19615113325075273, 0.1959061080572802]","[0.20712458003651013, 0.20652089335701682, 0.20671950822526758, 0.2085078643126921, 0.20748539675365796, 0.2080888016657396, 0.20789524100043558, 0.20755352079868317, 0.20678746022961356, 0.20671721480109476]"
"[0.19692946738059366, 0.19659666388953498, 0.19612089442003758, 0.1957924281238416, 0.1955669310388215, 0.19574049839732843, 0.19517370251887436, 0.19538157658839445, 0.19566125395374562, 0.19556719297115957]","[0.20699460398067127, 0.20741833069107748, 0.20767441798340192, 0.2086741328239441, 0.20842238854278217, 0.2086967392401262, 0.2078108475966887, 0.20783112672242252, 0.20732935856689105, 0.20861180262132126]"
"[0.19735093414783478, 0.19629449950992514, 0.19592294165300667, 0.19579286367521373, 0.19583082718586703, 0.19548859276355954, 0.19575801703634613, 0.19544469872745898, 0.19498444943253054, 0.19548110431487406]","[0.207576646046205, 0.20814888314767319, 0.2080388434908607, 0.2085460207679055, 0.20774300396442413, 0.20737645842812277, 0.20759988914836536, 0.2089425027370453, 0.20799413594332608, 0.20744552260095422]"
