params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_20_10_500,34.99536895751953,0.0,0.018606901168823242,0.0,0.001,20,10,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 500}",0.03761947462499926,0.03761947462499926,0.0,1,0.05858146863876612,0.05858146863876612,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.001_10_20_500,32.254603147506714,0.0,0.020016908645629883,0.0,0.001,10,20,500,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 500}",0.03594425972443127,0.03594425972443127,0.0,2,0.07289818383430202,0.07289818383430202,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.001_10_10_1000,34.721412658691406,0.0,0.017548084259033203,0.0,0.001,10,10,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.03409346189653817,0.03409346189653817,0.0,3,0.04617015488724574,0.04617015488724574,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.001_15_15_1000,36.406205892562866,0.0,0.018113136291503906,0.0,0.001,15,15,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15, 'batch_size': 1000}",0.033287447949319926,0.033287447949319926,0.0,4,0.05088851898447522,0.05088851898447522,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.002_20_20_1000,37.73094701766968,0.0,0.01995086669921875,0.0,0.002,20,20,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 1000}",0.032789764797188425,0.032789764797188425,0.0,5,0.0803407490411826,0.0803407490411826,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.001_15_20_1000,37.83622097969055,0.0,0.023786067962646484,0.0,0.001,15,20,1000,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 1000}",0.032434474933780266,0.032434474933780266,0.0,6,0.056469314108292035,0.056469314108292035,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.002_20_10_500,35.35142397880554,0.0,0.019263029098510742,0.0,0.002,20,10,500,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 500}",0.032359529727318814,0.032359529727318814,0.0,7,0.07178550103985093,0.07178550103985093,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_20_10_10000,33.825685024261475,0.0,0.06536078453063965,0.0,0.01,20,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 10000}",0.029231424244822946,0.029231424244822946,0.0,8,0.04209803211085139,0.04209803211085139,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_15_10_10000,35.492157220840454,0.0,0.018933773040771484,0.0,0.01,15,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 10, 'batch_size': 10000}",0.027527662883888304,0.027527662883888304,0.0,9,0.04152181622510576,0.04152181622510576,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_10_20_10000,34.10800266265869,0.0,0.018896102905273438,0.0,0.01,10,20,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 10000}",0.027435041360033607,0.027435041360033607,0.0,10,0.050110219546857016,0.050110219546857016,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_10_10_10000,33.6282799243927,0.0,0.018413066864013672,0.0,0.01,10,10,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 10000}",0.026617648442769704,0.026617648442769704,0.0,11,0.034750122705461184,0.034750122705461184,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_20_15_10000,34.38317084312439,0.0,0.019944190979003906,0.0,0.01,20,15,10000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 15, 'batch_size': 10000}",0.025144519595445503,0.025144519595445503,0.0,12,0.04793941313112571,0.04793941313112571,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.002_10_20_1000,36.61705493927002,0.0,0.01864910125732422,0.0,0.002,10,20,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 1000}",0.024397628423494133,0.024397628423494133,0.0,13,0.07486583559995286,0.07486583559995286,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.002_20_10_1000,36.41060209274292,0.0,0.017671823501586914,0.0,0.002,20,10,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 1000}",0.022887039974796797,0.022887039974796797,0.0,14,0.052253217431876275,0.052253217431876275,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.01_10_10_1000,36.79257822036743,0.0,0.018440961837768555,0.0,0.01,10,10,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.021271102660814445,0.021271102660814445,0.0,15,0.08787632710209359,0.08787632710209359,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
0.001_10_15_5000,30.76383090019226,0.0,0.019187211990356445,0.0,0.001,10,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 5000}",0.020547626519237916,0.020547626519237916,0.0,16,0.027734151171469823,0.027734151171469823,0.0,4,150,0.3044618756479724,0.3532440660128801,0.046774851119342875,0.028191361789136837,0.019061810645715993,0.21631829324995988,0.003557876916602254,0.9307942390441895,0.050849255,0.0013000077
