train,val
"[0.3881456985932971, 0.2245577232006493, 0.22136159022466853, 0.22050082683563232, 0.22020985076733685, 0.21917430523338668, 0.21850778422224412, 0.21737127744276588, 0.2167487782896112, 0.21610793635385847]","[0.22502575950189072, 0.21275047686966983, 0.21212582967498086, 0.21184580840847708, 0.21172761781649155, 0.21168574555353684, 0.2117742814800956, 0.211790840734135, 0.2121500765735453, 0.21250342645428397]"
"[0.21539580083768303, 0.21486205532463318, 0.21414280293184682, 0.213799657488088, 0.21321079640760335, 0.21289198907143478, 0.2126668243233217, 0.21271654717419125, 0.2130531514183097, 0.21238788292495484]","[0.21257391978393902, 0.21361297369003296, 0.2148192199793729, 0.2149708027189428, 0.2150688564235514, 0.21539919755675577, 0.21570401571013711, 0.2160809419371865, 0.2161354422569275, 0.2169610925696113]"
"[0.2129763013452565, 0.21260028544369095, 0.21216812046296005, 0.21213160195481887, 0.21210027738995507, 0.21181521093079803, 0.21174881245018146, 0.2120948045625599, 0.21155886365733015, 0.21163753317583592]","[0.21676138178868729, 0.21608634970404886, 0.21682835167104547, 0.2163416932929646, 0.2164460691538724, 0.2166644795374437, 0.21672441471706738, 0.21696950766173276, 0.21681345999240875, 0.21737022697925568]"
"[0.21183833042416003, 0.21178145433237794, 0.21165496753443272, 0.21163260704333628, 0.21132793462057725, 0.2107239019023169, 0.21107558536967005, 0.21094256024295038, 0.21180027860020278, 0.2115987058079571]","[0.2164395722475919, 0.21671768481081183, 0.21691275184804742, 0.21685255522077734, 0.21670264276591214, 0.21709906513040717, 0.21682225845076822, 0.21697240661491046, 0.21787210621617056, 0.21767320145260205]"
"[0.21140650940050773, 0.21117039017994468, 0.21095869833723122, 0.21106328357250317, 0.21097754058214502, 0.2105381811430695, 0.21075707127194887, 0.21102526360148682, 0.21082723468815515, 0.21066219981657255]","[0.2167630588466471, 0.21782973815094342, 0.2171216837384484, 0.21744267507032913, 0.2172810584306717, 0.21707407181913202, 0.21740705452182077, 0.21753571927547455, 0.21728439222682605, 0.2177850902080536]"
