train,val
"[0.38046918139545194, 0.21317875166551783, 0.20993450126790125, 0.20892743670612302, 0.20832461979957895, 0.20792120722455715, 0.20750372166480494, 0.20677856130337496, 0.20600228230340764, 0.20536742516613882]","[0.23941451446576553, 0.23091515627774326, 0.2310661036859859, 0.23079422793605112, 0.23074398257515646, 0.23054629835215482, 0.23037541725418784, 0.23052620210430838, 0.23071367225863718, 0.23072194240309976]"
"[0.20446304853903044, 0.20373388058548675, 0.2032711724622534, 0.20278185182208314, 0.20248244463577184, 0.20223526342199483, 0.20188580740482434, 0.20219339963492997, 0.20160975888234758, 0.2017530740127651]","[0.23136037994514813, 0.23201382972977377, 0.23287987438115207, 0.23354546590284866, 0.23459018495949832, 0.2344133650714701, 0.23471445793455298, 0.23500169000842355, 0.2349586310711774, 0.23535023087804968]"
"[0.2013049192658258, 0.2017078055154293, 0.20117847101950864, 0.20113371627046428, 0.20155804939226274, 0.20079958555075006, 0.20109237990248094, 0.20152288538600327, 0.20070802386200756, 0.20122165800234593]","[0.2355726876042106, 0.23529265143654562, 0.2361014417626641, 0.23591929267753253, 0.23538698797876184, 0.23606715960936112, 0.23591917753219604, 0.23565707829865543, 0.2359996112910184, 0.23559616099704395]"
"[0.20083541593967227, 0.20094041020498363, 0.20053614402582887, 0.20082792338974978, 0.20040783573181256, 0.20062553841586506, 0.20041427918530386, 0.20084773858479404, 0.20022223889827728, 0.20022526725169715]","[0.23599901795387268, 0.2358617904511365, 0.23584803803400559, 0.23580812866037543, 0.2366718744689768, 0.23649367148225958, 0.23622993312098764, 0.23591667007316242, 0.23624437099153345, 0.23706689341501755]"
"[0.20063374266711945, 0.2004935332667937, 0.20063093742099378, 0.20016804624588116, 0.19994888058222762, 0.20005204754138212, 0.1998715283127006, 0.20004357383885515, 0.20018333497397398, 0.20006019998034205]","[0.2360730076378042, 0.23621315983208743, 0.23600561781363052, 0.23615901849486612, 0.23640257661992853, 0.236897965723818, 0.2370838780294765, 0.23642040924592453, 0.23657455227591775, 0.23644409938292069]"
