params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_15_5,20.849438905715942,0.0,0.017103195190429688,0.0,0.001,15,5,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5}",0.008714571366150059,0.008714571366150059,0.0,1,0.053714464079589685,0.053714464079589685,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_5_5,18.757997035980225,0.0,0.01789689064025879,0.0,0.001,5,5,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 5}",0.0077294277765352914,0.0077294277765352914,0.0,2,0.05531187119065262,0.05531187119065262,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_10_5,20.447679042816162,0.0,0.01689600944519043,0.0,0.001,10,5,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 5}",0.005998153830296782,0.005998153830296782,0.0,3,0.054911105171036145,0.054911105171036145,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_5_5,18.900881052017212,0.0,0.062296152114868164,0.0,0.01,5,5,"{'optimizer__lr': 0.01, 'module__num_units_2': 5, 'module__num_units_1': 5}",0.004524332768473083,0.004524332768473083,0.0,4,0.06881230984765907,0.06881230984765907,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_5_10,22.22284507751465,0.0,0.017148971557617188,0.0,0.001,5,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 10}",0.0036741245255872412,0.0036741245255872412,0.0,5,0.05607493429446819,0.05607493429446819,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_5_15,19.77936291694641,0.0,0.020437002182006836,0.0,0.001,5,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 15}",0.0024382682436525638,0.0024382682436525638,0.0,6,0.06472384718556734,0.06472384718556734,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_10_5,19.967676877975464,0.0,0.01689004898071289,0.0,0.01,10,5,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 5}",0.0021556392091919285,0.0021556392091919285,0.0,7,0.07102515900930917,0.07102515900930917,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_10_15,19.719284057617188,0.0,0.01718306541442871,0.0,0.001,10,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 15}",0.0021141167444467257,0.0021141167444467257,0.0,8,0.05862743477586718,0.05862743477586718,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_15_10,21.929189682006836,0.0,0.01712512969970703,0.0,0.001,15,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 10}",0.00045585483303256513,0.00045585483303256513,0.0,9,0.059049446586775245,0.059049446586775245,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_10_10,18.385074853897095,0.0,0.017139911651611328,0.0,0.001,10,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10}",-0.0035844112744072287,-0.0035844112744072287,0.0,10,0.05722632910143388,0.05722632910143388,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.001_15_15,18.46886706352234,0.0,0.017322063446044922,0.0,0.001,15,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15}",-0.004178592232550793,-0.004178592232550793,0.0,11,0.0601514075522257,0.0601514075522257,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_5_10,21.581740140914917,0.0,0.016954898834228516,0.0,0.01,5,10,"{'optimizer__lr': 0.01, 'module__num_units_2': 5, 'module__num_units_1': 10}",-0.008135928239415335,-0.008135928239415335,0.0,12,0.09094992123268797,0.09094992123268797,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_15_5,20.697089910507202,0.0,0.01731395721435547,0.0,0.01,15,5,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5}",-0.01777250032779465,-0.01777250032779465,0.0,13,0.0737297443742958,0.0737297443742958,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_5_15,20.133738040924072,0.0,0.01853799819946289,0.0,0.01,5,15,"{'optimizer__lr': 0.01, 'module__num_units_2': 5, 'module__num_units_1': 15}",-0.019161540821868384,-0.019161540821868384,0.0,14,0.10956413427391243,0.10956413427391243,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_10_15,19.920365810394287,0.0,0.01689004898071289,0.0,0.01,10,15,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 15}",-0.020857337615662885,-0.020857337615662885,0.0,15,0.1197303661876824,0.1197303661876824,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_15_10,21.92265820503235,0.0,0.01706385612487793,0.0,0.01,15,10,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 10}",-0.024036761922839434,-0.024036761922839434,0.0,16,0.09269820601485335,0.09269820601485335,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_15_15,18.341873168945312,0.0,0.017128944396972656,0.0,0.01,15,15,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 15}",-0.03493677945744267,-0.03493677945744267,0.0,17,0.12144038664468482,0.12144038664468482,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
0.01_10_10,18.703670740127563,0.0,0.016907215118408203,0.0,0.01,10,10,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 10}",-0.042478166599972944,-0.042478166599972944,0.0,18,0.10329825559681793,0.10329825559681793,0.0,3,100,0.3054847439064597,0.3524229765127146,0.043572401729228716,0.030450258528752494,0.016275169965271674,0.21959899654870274,0.010609087534248829,0.6170471906661987,0.050834298,0.0010824812
