train,val
"[0.30061049103190046, 0.21082234109213593, 0.20972776043852534, 0.2086776452600409, 0.20738926461530388, 0.2064830614339321, 0.20543095298589917, 0.2043055313716241, 0.20410878142905892, 0.20326775025337115]","[0.2032973508943211, 0.20262116329236465, 0.2024690183726224, 0.2023269764401696, 0.20241304690187628, 0.20271967622366818, 0.20372359996492212, 0.20460051704536786, 0.2051946155049584, 0.20571756227449936]"
"[0.2036444803170108, 0.20309839732603197, 0.20276989644273705, 0.20268949046047455, 0.202784940873811, 0.20270021553706685, 0.20210159747698986, 0.20246383691326195, 0.2022687483818159, 0.20190911842595546]","[0.20598069781606848, 0.20586086809635162, 0.20631038600748236, 0.2060016772963784, 0.20582385496659714, 0.20618036931211298, 0.20638819987123663, 0.2070507217537273, 0.2066050727259029, 0.20692105049436743]"
"[0.2021836549590487, 0.20208652413219486, 0.20146709379799868, 0.20169899920257953, 0.20157162476023402, 0.2017272330068667, 0.20144075093739625, 0.20123257467506128, 0.2013678286873966, 0.20146155500904137]","[0.20629030059684406, 0.20662700588052924, 0.20660934394056146, 0.2074682658368891, 0.20673709430477835, 0.20993533459576694, 0.20712776346640152, 0.206755363128402, 0.20749795030463825, 0.20794227583841843]"
"[0.20118808090139967, 0.2010334962551747, 0.20111659032489182, 0.20102518919957887, 0.20084279187775533, 0.2004338958121221, 0.20037517238647565, 0.20060662788535477, 0.20047227703376647, 0.2000971966243665]","[0.20689236711372028, 0.2071970281275836, 0.20738772370598532, 0.20743504708463495, 0.2078838267109611, 0.20777324112978848, 0.2081477330489592, 0.20796570723707025, 0.2081692950292067, 0.20757400583137164]"
"[0.2005964401391668, 0.2005611551464151, 0.20057766453935466, 0.20033665356832905, 0.20084417310603167, 0.2006604574415662, 0.20039517452957434, 0.20002064368593583, 0.20015618328107607, 0.2005076180084036]","[0.20751474120400168, 0.20753315632993524, 0.20859355953606692, 0.20795709842985327, 0.20992873202670703, 0.20856336571953513, 0.2078987956047058, 0.20816201919859106, 0.20911408554423938, 0.20874697782776572]"
"[0.20075890736295543, 0.20012169023719403, 0.20024911266401274, 0.19956179571534516, 0.19965645616207647, 0.1998685550525648, 0.19952145335050897, 0.1998750286501482, 0.19963541011744684, 0.19948846026571518]","[0.20871358161622827, 0.20826979252425107, 0.2082133875651793, 0.20845537023110824, 0.20838908309286291, 0.20903423564000564, 0.20893709632483395, 0.20879929038611325, 0.20869596844369714, 0.20868517458438873]"
"[0.20010452580834748, 0.1996181783599591, 0.1993173034092702, 0.19938933863005506, 0.19937224330705242, 0.19889780017760916, 0.19947026560612774, 0.19922089781783042, 0.19893238372212158, 0.1996443263434489]","[0.20946170660582455, 0.20909013125029477, 0.20881505039605228, 0.208729474381967, 0.20974342795935544, 0.20890227231112393, 0.21011071719906546, 0.20884499089284378, 0.20920513434843582, 0.20975061844695697]"
"[0.1991342940461745, 0.19938586488229418, 0.19901127894537166, 0.19896898029047413, 0.19895817674354677, 0.19854377223811018, 0.19875205656804076, 0.1986977254305411, 0.19820310025040164, 0.1982751163320804]","[0.20925258777358316, 0.20992901921272278, 0.20951047133315692, 0.20988824557174335, 0.20879614624110135, 0.20947593721476468, 0.20958020741289313, 0.20955976979299026, 0.2098282209851525, 0.20943702486428348]"
"[0.19896861856136847, 0.19873258539842903, 0.1986577611997587, 0.19821903150562847, 0.19824017639007044, 0.19834894242636655, 0.19820322444952956, 0.19774743272077053, 0.19793161182501995, 0.19791409236575486]","[0.2095868316563693, 0.2105493193322962, 0.2095877623016184, 0.20993824845010584, 0.20995618809353223, 0.20978471501307053, 0.20981059968471527, 0.20984114706516266, 0.20961681821129538, 0.20968838713385843]"
"[0.1982764842313364, 0.1984367254403753, 0.19839353982461702, 0.19797836818279477, 0.1978169709717462, 0.19795741298056524, 0.19763265468111826, 0.19723749406840824, 0.19708534671899375, 0.197518055865524]","[0.20969184149395337, 0.20962239801883698, 0.21012357283722272, 0.2095656841993332, 0.2104663537307219, 0.21014487607912583, 0.20986175537109375, 0.2107086113908074, 0.21046622910282828, 0.2100007642399181]"
