train,val
"[0.3790881464240748, 0.21391284137690833, 0.21050539024926107, 0.20985591220199515, 0.20936457826456892, 0.20902954233348917, 0.20862501504224376, 0.20770171722140882, 0.20716506844266838, 0.20645182449883276]","[0.22534696622328323, 0.2150284065441652, 0.21478694677352905, 0.2146417579867623, 0.21445697410540146, 0.21441666917367416, 0.21442852372472937, 0.21457274393601852, 0.2148124331777746, 0.21521282873370431]"
"[0.20562304993835065, 0.2045702042929623, 0.20414001105028554, 0.20386823389781725, 0.20304786878714867, 0.20319008177846942, 0.20308977119419552, 0.20285166219013548, 0.2032340024042567, 0.20259294542697592]","[0.21547643433917651, 0.21616394140503623, 0.21686545691706918, 0.21741228889335285, 0.2179450595920736, 0.2182844795963981, 0.21857731450687756, 0.21880444071509622, 0.21891009672121567, 0.2191588431596756]"
"[0.20276630293885503, 0.20260604833244183, 0.20251644054137238, 0.20219703825241928, 0.20250838762576426, 0.2025225538452831, 0.20199124036578958, 0.20188679224854217, 0.2019166587552893, 0.20157083007720633]","[0.2188921868801117, 0.2192436077378013, 0.2192102914506739, 0.21951728517358954, 0.21935718980702487, 0.21945778212764047, 0.219539000229402, 0.21975331956690008, 0.21971429207108237, 0.219968090003187]"
"[0.2018928495022135, 0.20206959135488634, 0.2018705703523181, 0.20181104855253063, 0.2017057738993146, 0.20155365218263155, 0.2012327191753125, 0.20142583138898973, 0.20111332491997186, 0.20150986259136724]","[0.21911019628698175, 0.21941314908591183, 0.21947743404995312, 0.21954672174020248, 0.2197130783037706, 0.21965754980390723, 0.22004804421554913, 0.21993236243724823, 0.22046689282764087, 0.22024729576977817]"
"[0.2017309235050044, 0.20165165274515065, 0.20160767408685948, 0.20104129995227954, 0.20115267874997692, 0.2011040915316398, 0.20073074731258078, 0.20085118362389573, 0.20107855285526416, 0.20093290589818166]","[0.21972885592417282, 0.21971218287944794, 0.22007456828247418, 0.22017878158525986, 0.2201233750039881, 0.2202109911225059, 0.21995809403332797, 0.22052255408330398, 0.22041987424547022, 0.22048017653551968]"
