params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.001_15_15,22.24327516555786,0.0,0.017621994018554688,0.0,0.001,15,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 15}",0.0482444791502763,0.0482444791502763,0.0,1,0.054903792036460675,0.054903792036460675,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_10_10,20.20232081413269,0.0,0.01751089096069336,0.0,0.001,10,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 10}",0.045701566150073036,0.045701566150073036,0.0,2,0.04667287972844958,0.04667287972844958,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_10_15,51.89653778076172,0.0,0.01760721206665039,0.0,0.001,10,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 15}",0.04552897893537322,0.04552897893537322,0.0,3,0.05092158044089057,0.05092158044089057,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_5_15,22.346370935440063,0.0,0.024827957153320312,0.0,0.001,5,15,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 15}",0.04409878070717799,0.04409878070717799,0.0,4,0.051665908893711476,0.051665908893711476,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.01_15_5,21.45809817314148,0.0,0.022598981857299805,0.0,0.01,15,5,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 5}",0.043233379076086376,0.043233379076086376,0.0,5,0.05782540266854719,0.05782540266854719,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_15_10,21.527096033096313,0.0,0.020090103149414062,0.0,0.001,15,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 10}",0.04246845971155666,0.04246845971155666,0.0,6,0.04454135335328713,0.04454135335328713,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_5_10,23.306737899780273,0.0,0.017868995666503906,0.0,0.001,5,10,"{'optimizer__lr': 0.001, 'module__num_units_2': 5, 'module__num_units_1': 10}",0.03898466673678258,0.03898466673678258,0.0,7,0.04118406813168152,0.04118406813168152,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_15_5,24.0543110370636,0.0,0.018762826919555664,0.0,0.001,15,5,"{'optimizer__lr': 0.001, 'module__num_units_2': 15, 'module__num_units_1': 5}",0.03840411173297287,0.03840411173297287,0.0,8,0.045162885994208035,0.045162885994208035,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.001_10_5,1456.6516790390015,0.0,0.01788783073425293,0.0,0.001,10,5,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 5}",0.03740250122148425,0.03740250122148425,0.0,9,0.03897515910339633,0.03897515910339633,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
0.01_10_5,24.32579278945923,0.0,0.0239260196685791,0.0,0.01,10,5,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 5}",0.033978959988260726,0.033978959988260726,0.0,10,0.055547400661962176,0.055547400661962176,0.0,6,100,0.3025349578530377,0.35051281886003227,0.05280774603614735,0.03570528723503397,0.02120252496482733,0.23865004271465307,0.004387144930660725,0.8320454955101013,0.047202904,0.001280639
