train,val
"[0.30240878941269095, 0.2121986894432558, 0.21146860158224717, 0.2101758297430266, 0.20835954948849633, 0.20733637178162917, 0.20618956283144996, 0.20582009947628055, 0.20498175734500274, 0.2050407828267561]","[0.21742760322310709, 0.2169334265318784, 0.2167269912633029, 0.21669575030153448, 0.21739200434901498, 0.21806152571331372, 0.21926050565459512, 0.22001835839314896, 0.22084751318801532, 0.22098513760349967]"
"[0.20462426303996953, 0.20454901593540786, 0.20460370962226063, 0.20410294803457524, 0.20424010884871177, 0.2039390967799983, 0.20385767013654796, 0.20341671620487073, 0.20386888237174497, 0.20375965344249655]","[0.22154498371210965, 0.22104996036399494, 0.22161013429815118, 0.22191326726566662, 0.2218828716061332, 0.22184218737212094, 0.22176826677539133, 0.22227960960431534, 0.2216184288263321, 0.2218233807520433]"
"[0.20410791859714264, 0.20400214701070699, 0.20374017119954485, 0.20319894585040732, 0.2029637116084405, 0.20315349088349474, 0.20328956316097066, 0.2026734767703835, 0.20324570118287288, 0.20272874517725148]","[0.2218357581983913, 0.22216579182581467, 0.2221405736424706, 0.22213262048634616, 0.2230035743930123, 0.2226090824062174, 0.222390815615654, 0.22328055582263254, 0.22293933684175665, 0.22256765040484341]"
"[0.20324122673327769, 0.20311164145075947, 0.20296995833926246, 0.2030586929769691, 0.2025874877058038, 0.20237018578096266, 0.202444299850442, 0.2022394975391003, 0.20231116706625038, 0.20234298172893875]","[0.22205965491858395, 0.22266217524355109, 0.2225744968110865, 0.2227612855759534, 0.22266359491781754, 0.22287449376149612, 0.22309013388373636, 0.22362334890799088, 0.2237154936248606, 0.22360851006074386]"
"[0.20257751917073485, 0.20233831588828236, 0.202099007614162, 0.20215404792389738, 0.2022374015335643, 0.2022469051250624, 0.20194285889284327, 0.20219401550402336, 0.20190183312521068, 0.20158546807569103]","[0.2233738059347326, 0.22318067062984814, 0.22360329600897702, 0.22388983314687555, 0.22459439662369815, 0.22360234775326468, 0.22343994677066803, 0.22332011705095117, 0.22373955222693356, 0.2237262725830078]"
"[0.20200810328536078, 0.20178661406587023, 0.20164282168817083, 0.2019348759716804, 0.20143915972578416, 0.20114268813658198, 0.20119090432967615, 0.20120176946351287, 0.20060845334595495, 0.2011984705651572]","[0.22368791563944382, 0.22419126331806183, 0.22373399409380826, 0.22379363666881213, 0.22412470389496197, 0.22414821792732587, 0.22421220215884122, 0.2241250452670184, 0.22486917674541473, 0.22430451078848404]"
"[0.20165759940213018, 0.20105807408006912, 0.20083640180869933, 0.20100491828874711, 0.2005184459576913, 0.20071535331940432, 0.200565780248117, 0.2005308468680863, 0.2002302637887657, 0.20083126507767843]","[0.22413624281233008, 0.22427625276825644, 0.2241028520193967, 0.2248278111219406, 0.22466184334321457, 0.22536866908723657, 0.22452925145626068, 0.2246009341695092, 0.2247504388744181, 0.22463798252019015]"
"[0.2013042498072353, 0.2008039944489068, 0.2006489663222514, 0.20088258918819077, 0.20054277791342603, 0.20048700081645895, 0.20019375129577216, 0.200035438214967, 0.20015448523223947, 0.19994096799727973]","[0.22389152239669452, 0.22472520037130875, 0.22474662553180347, 0.22510252622040836, 0.22477813065052032, 0.22540043429894882, 0.2262067659334703, 0.2260655489834872, 0.22524629668755966, 0.22569610178470612]"
"[0.2010642733048955, 0.20029029940519857, 0.20061715357347365, 0.20023226382535533, 0.19957473361437475, 0.20021475332045774, 0.19950731276372158, 0.1997414771980102, 0.19972906746995558, 0.19921778812320953]","[0.2248294786973433, 0.22461030293594708, 0.22514295307072726, 0.2263648889281533, 0.22603382576595654, 0.22523292221806265, 0.2257982912388715, 0.2262842126867988, 0.22606777467510916, 0.2267434068701484]"
"[0.20015977740014365, 0.20039935327997996, 0.19995929546859287, 0.19945427707029045, 0.19945039251528748, 0.1989987113880455, 0.1990690057704208, 0.1995027842461516, 0.19901535133703038, 0.19894348372013196]","[0.22532358901067215, 0.22544399445707147, 0.2259952344677665, 0.22606684132055802, 0.2259126048196446, 0.22669479928233408, 0.22567687928676605, 0.22568884085525165, 0.22668609835884787, 0.22719586979259143]"
