train,val
"[0.30623624877098504, 0.21497748669134367, 0.21381745760867354, 0.21205803751945496, 0.21069482843810267, 0.20907193832441207, 0.2079223245382309, 0.2066840138457237, 0.20613099320219197, 0.20573603655767003]","[0.20744796368208798, 0.20653375441377814, 0.20654045316306027, 0.20623901892792096, 0.2068211151794954, 0.20786704800345682, 0.20934231985699048, 0.21009719507260757, 0.2106359452009201, 0.21098284287886185]"
"[0.20679251794968176, 0.20577064840071793, 0.2053187121765329, 0.2052184888802537, 0.2051984980839108, 0.20501202782359693, 0.204979994701683, 0.20458137141455204, 0.20468320909443252, 0.20469788865211908]","[0.21205358749086206, 0.21110004728490656, 0.21234071390195328, 0.2116000313650478, 0.21193445541641928, 0.21184206957166846, 0.2123690816489133, 0.21131217615170914, 0.21192335946993393, 0.21262759512121027]"
"[0.20532127968761898, 0.2047621015835246, 0.20446418171082067, 0.2040070263891045, 0.20420473704644299, 0.20418906334890138, 0.20385963339871221, 0.20395329088792888, 0.20345116126427956, 0.2037640454572275]","[0.21315600655295633, 0.21187862212007696, 0.21195979416370392, 0.21181200038303027, 0.2119734449820085, 0.21280163797465237, 0.2132568968967958, 0.21241736005653034, 0.21173905378038232, 0.213013311678713]"
"[0.20438046151891762, 0.20357877843150304, 0.20386147280351832, 0.20358719861288682, 0.20362435855449887, 0.2034141463013964, 0.20377543924051686, 0.20326949861071525, 0.2034455602048734, 0.20332675611754075]","[0.21215848082845862, 0.21212659640745682, 0.21287935972213745, 0.2124639261852611, 0.21258306367830795, 0.21258639882911334, 0.21241644566709345, 0.21239390427416022, 0.2125532559373162, 0.21293163841420953]"
"[0.2034077251996469, 0.20357355536944274, 0.20372570982766808, 0.2028812066130682, 0.20296100260467703, 0.20287976865101298, 0.20308460021784547, 0.20273785689555177, 0.20279290533940728, 0.2026776387057173]","[0.21445618976246228, 0.213346236131408, 0.21435846117409793, 0.2132319767366756, 0.2127443104982376, 0.2125279740853743, 0.21383743665435098, 0.21410252289338547, 0.21418031372807242, 0.21395924551920456]"
"[0.20286511253873143, 0.2027345582706119, 0.2032599130628306, 0.202457390247135, 0.20270997039768673, 0.20244146199948196, 0.20245956691033248, 0.20227909224842666, 0.2020684286541895, 0.20224729610965886]","[0.21282183040272107, 0.21306502277200873, 0.21347213739698584, 0.21330419453707608, 0.21331681988456033, 0.21339746767824347, 0.21410457383502612, 0.21421845121817154, 0.21443007750944656, 0.21389392831108786]"
"[0.20310916471371956, 0.20234538450700426, 0.20232544278879777, 0.20205976451755664, 0.20200630270559852, 0.2019643263395773, 0.2017920380885448, 0.20173158216367074, 0.20149677773134425, 0.2017259385881074]","[0.2137564244595441, 0.2135129530321468, 0.21319701996716586, 0.2135069031607021, 0.2135582295331088, 0.21405664899132468, 0.21403165703470056, 0.21391929279674182, 0.21381360563364896, 0.2140597619793632]"
"[0.2024614076822176, 0.2021986756029479, 0.20229882521366854, 0.20179839705655334, 0.2016559865906698, 0.20152755614814408, 0.20166853275320945, 0.20175485634202256, 0.20111332936297863, 0.20079591220945392]","[0.21369119801304556, 0.2133606428449804, 0.21540595591068268, 0.21405640786344354, 0.21434051204811444, 0.21424025161699814, 0.21460315585136414, 0.21510819142515009, 0.21411453729326074, 0.21500444818626752]"
"[0.20218454096295418, 0.2018430747023416, 0.20186019148848472, 0.20134738429423865, 0.20121097865454649, 0.20112937825535415, 0.2011498002284164, 0.2010309255998069, 0.2010669380152991, 0.2011036473676699]","[0.2136226770552722, 0.2138843753121116, 0.21487264877015894, 0.21447169916196304, 0.21408154476772656, 0.21515789898959073, 0.21520183303139426, 0.2148198593746532, 0.21439345722848718, 0.21497264098037372]"
"[0.20214220717412615, 0.20129884601733006, 0.20107120562584027, 0.201333639818594, 0.2010929475136853, 0.20107702336726932, 0.20068977472432162, 0.20058079050221575, 0.20104431531844882, 0.2005929610597978]","[0.21584998071193695, 0.21408475664528934, 0.21397924016822467, 0.21498924087394367, 0.21565816483714365, 0.21458752724257382, 0.21460588411851364, 0.2156646576794711, 0.21698383038694208, 0.215572943741625]"
"[0.20200603844922618, 0.2015166176021646, 0.2010847382042386, 0.20085233367911173, 0.20067416835542118, 0.20083858366679708, 0.2010510779848886, 0.20081386899729387, 0.20045218951658372, 0.19990625512709312]","[0.21495812454006888, 0.21464436027136716, 0.2153805304657329, 0.2161429443142631, 0.21729773824865167, 0.21520895307714288, 0.21725761754946274, 0.21591316976330496, 0.21559039435603403, 0.2159660350192677]"
"[0.20125650006149887, 0.2009921062976942, 0.2008349734161972, 0.20092182285195098, 0.200697580472045, 0.20026273492279403, 0.20018783088670958, 0.20052513480186462, 0.20020543223400727, 0.20020088115963366]","[0.2155635505914688, 0.2150572416457263, 0.21515139801935715, 0.21578647873618387, 0.21448133208534934, 0.215695475990122, 0.21561563556844537, 0.21534378420222888, 0.21660023385828192, 0.21566277742385864]"
"[0.20116115258921177, 0.20069074268461368, 0.20076091792605338, 0.2001559298929818, 0.2002453737029242, 0.19999711406887125, 0.20014349637775247, 0.20027560337420997, 0.20003225674869818, 0.20009084237278055]","[0.2151278785683892, 0.2156609215519645, 0.21578713032332333, 0.21543242443691601, 0.21554853970354254, 0.2161875529722734, 0.216229415752671, 0.2162339755079963, 0.21642971174283462, 0.2162797898054123]"
"[0.20112194995814509, 0.20041612310147067, 0.2006164930008967, 0.20026557708005294, 0.19981020935084842, 0.20012360387439027, 0.20027693449904066, 0.19999730833079837, 0.19995296985731212, 0.19962009712370163]","[0.2157876261255958, 0.21697651662609793, 0.21573017943989148, 0.21613753790205176, 0.21675204959782687, 0.21616183627735486, 0.2165146442976865, 0.2157059433785352, 0.21697829799218613, 0.21693174270066348]"
"[0.20091153339508477, 0.20057052380721505, 0.20008999198128324, 0.2001199398292314, 0.20011822127420967, 0.2000138704929877, 0.1998935999400025, 0.19971604221457734, 0.19950745083870144, 0.19969781016537902]","[0.21616236594590274, 0.21564164080403067, 0.21572778170759027, 0.21607979861172763, 0.21664156019687653, 0.21642206067388708, 0.21678005971691824, 0.21702949702739716, 0.21605028889395975, 0.21712329983711243]"
"[0.2007585374313757, 0.20030178020306683, 0.20030604261870777, 0.20000001767633158, 0.19970640663160097, 0.20011629670038136, 0.19971329698322016, 0.19936587230874858, 0.19966252571945892, 0.19947433895474181]","[0.2167468179355968, 0.21586321700703015, 0.21577571332454681, 0.21538462422110818, 0.21574240245602347, 0.21660115773027594, 0.21595808728174729, 0.21743591671640222, 0.21661620790308173, 0.21686768260869113]"
"[0.20086575825826838, 0.2001336093889464, 0.2002647333188888, 0.199785026115015, 0.19993517814426248, 0.20017921828895535, 0.19935265579901704, 0.19985862787163586, 0.19975186474279527, 0.19940839120007436]","[0.21597129648382013, 0.215403750538826, 0.21643605692820114, 0.21710824560035358, 0.216522909023545, 0.21653316237709738, 0.21652484211054715, 0.21700200709429654, 0.21707617965611545, 0.2168056680397554]"
"[0.20030903283062332, 0.20012647774788217, 0.19973880818130774, 0.19982306085048465, 0.19967288995554688, 0.19928760929118602, 0.19931423609409857, 0.19958040487328801, 0.1995370571219593, 0.1992431233782287]","[0.2157981043512171, 0.21649052609096875, 0.21698207475922324, 0.2161614014343782, 0.21656988832083615, 0.21690752424977042, 0.21678644012321124, 0.21646388823335821, 0.21705924516374414, 0.2174237695607272]"
"[0.20053924305723347, 0.2001227089161173, 0.19974971494270027, 0.200005869389674, 0.1997858519674441, 0.19956331529201718, 0.19946018599588936, 0.19898225175678183, 0.19923768377085344, 0.19894705999881848]","[0.21724288842894815, 0.2165085862983357, 0.21560883928428998, 0.21676524660804056, 0.21646561270410364, 0.21687217192216354, 0.21607931771061636, 0.21632915057919241, 0.21732705425132404, 0.21672147647901016]"
"[0.20086685178476735, 0.19995793167057388, 0.19963276044491235, 0.19992670109239194, 0.19928398413942494, 0.19929598312859143, 0.1992963547690199, 0.19958842381698275, 0.19877299994503686, 0.19888277816663094]","[0.21632795984094794, 0.21656516058878464, 0.21600328385829926, 0.2168250246481462, 0.2167840992862528, 0.21748816560615192, 0.21670926023613324, 0.21642282740636307, 0.21721034022894772, 0.21695950898257169]"
"[0.20059832424745647, 0.19961675714462176, 0.19996804504766377, 0.1994697336756855, 0.19955718667682157, 0.1992822916956123, 0.1992060941293699, 0.1992968707729917, 0.1989234726226658, 0.19877158488155505]","[0.2166618758981878, 0.21608194708824158, 0.21691365675492721, 0.2166300876574083, 0.2177492380142212, 0.21599389612674713, 0.2166358164765618, 0.21705469489097595, 0.21747903661294418, 0.21654312718998303]"
"[0.20010260472057062, 0.1996582248888978, 0.19963164880461648, 0.19943653217969684, 0.19936649986636748, 0.19906416248290912, 0.19928440889087293, 0.1992800062129257, 0.19890632336839623, 0.19919623496062164]","[0.21636098623275757, 0.21724992042238062, 0.2157112183895978, 0.21676241538741373, 0.21710622987963937, 0.21628175404938785, 0.21646976470947266, 0.21728801727294922, 0.2173381827094338, 0.21726082129911942]"
"[0.20103442956001386, 0.1997538928728585, 0.19996173529449954, 0.19994962953646248, 0.19935480402697117, 0.19917038732439007, 0.1992821984608239, 0.1990833460190974, 0.19878073282744907, 0.1983568861807158]","[0.21638563817197626, 0.2164288108999079, 0.2171019952405583, 0.21632271056825464, 0.21655742688612503, 0.21671891347928482, 0.2175680940801447, 0.21750119057568637, 0.21671448241580615, 0.21827961233529178]"
"[0.2006999321213556, 0.19985543813453902, 0.1996538932307051, 0.19952650224670357, 0.1993653381909799, 0.19936483825018647, 0.1990956071456638, 0.19884622479797504, 0.1988625246177026, 0.19884664271402797]","[0.2168730836022984, 0.21613789959387344, 0.21658918532458218, 0.21743997931480408, 0.21719365499236368, 0.21781806647777557, 0.21745248409834775, 0.2175108031793074, 0.21687628870660608, 0.21699019182812085]"
