train,val
"[0.30322363070391734, 0.21452766151056377, 0.21326588217271578, 0.21233416423885101, 0.21083598590772087, 0.20903835288428385, 0.20800024558097943, 0.20774111452452634, 0.20694746692246252, 0.2063709296491168]","[0.21788766167380594, 0.21732773022218185, 0.21706814522092993, 0.21706261959942905, 0.2176588394425132, 0.21872214024717157, 0.22015183080326428, 0.22084331241520969, 0.22159504890441895, 0.22169572114944458]"
"[0.20672786919348832, 0.2063659909394903, 0.2062566213378119, 0.20575361733042866, 0.20558031867130086, 0.20565528429429467, 0.2053316049619552, 0.20551185487607204, 0.20559794749688665, 0.2058271225712715]","[0.22158858180046082, 0.22192866016517987, 0.22173595428466797, 0.22198134931651028, 0.22240076959133148, 0.2222962880676443, 0.22286120734431528, 0.22239126535979184, 0.2223441316322847, 0.22284171256152066]"
"[0.20569588257632124, 0.20558575287871406, 0.20509163201402086, 0.2048009426221935, 0.20498746838591514, 0.2051406192396759, 0.20491435795749, 0.20455959247886588, 0.2051983230977977, 0.20463091422111615]","[0.22209600562399084, 0.2227354347705841, 0.22290635244412857, 0.22307157516479492, 0.22273515977642752, 0.22237917645411057, 0.2227614237503572, 0.22313338924538006, 0.22511117295785385, 0.22317551211877304]"
"[0.20491786055061795, 0.20435849139723208, 0.20476050770610843, 0.20474680971115009, 0.20418075164523694, 0.2043899721508726, 0.2047373806938119, 0.20401409651161334, 0.20378082088374216, 0.20422775619620576]","[0.22319937565109946, 0.2234954603693702, 0.2229208146983927, 0.22326696460897272, 0.22316456111994656, 0.22318993237885562, 0.2235105186700821, 0.22348894043402237, 0.2235650962049311, 0.22338415004990317]"
"[0.2046517813151036, 0.2046272507227889, 0.20443903771015481, 0.20448821632687106, 0.20383032363489134, 0.20394379324322448, 0.20346008186493444, 0.20351473344575374, 0.20329702003013103, 0.20342600892443174]","[0.22310362891717392, 0.2233382829210975, 0.22424764931201935, 0.22430102256211368, 0.22347765890034763, 0.22398832440376282, 0.22361695089123465, 0.2237601551142606, 0.2238133969632062, 0.22375061972574753]"
"[0.20416147432742862, 0.20386906501350052, 0.20393431008955754, 0.20348446590637942, 0.2031099479132836, 0.20322761076305984, 0.20338620491530918, 0.20306600684966516, 0.20236233389432276, 0.20331730146747118]","[0.22405573996630582, 0.22378006848421964, 0.2242077345197851, 0.22421043027531018, 0.2242871495810422, 0.22444690086624838, 0.22438707405870612, 0.2243345081806183, 0.2244455015117472, 0.22499786452813583]"
"[0.20340842760484154, 0.20342734209988095, 0.20313526115833072, 0.20306433956010625, 0.20301568385111082, 0.20274474957120528, 0.20311706684051303, 0.20268488449787875, 0.20237962300077492, 0.20307106264960875]","[0.22495686330578543, 0.2252163074233315, 0.22449416464025324, 0.2244893176989122, 0.2246491014957428, 0.22493674944747577, 0.22438813204115088, 0.22488218952309003, 0.22531734677878293, 0.22630756009708752]"
"[0.2030576866017569, 0.20293368098385836, 0.20288905884147784, 0.20290106562299465, 0.20295203292588576, 0.20235541613276944, 0.20267853263868105, 0.20261661817721272, 0.2020897537196448, 0.20248789046335658]","[0.22531184418634934, 0.2257840714671395, 0.2255669656124982, 0.22495560889894312, 0.22527466714382172, 0.22527943822470578, 0.22451011701063675, 0.2248460352420807, 0.22683302922682327, 0.22530660846016623]"
"[0.20318230576471452, 0.20262161088646005, 0.20227331128142295, 0.20258197024327898, 0.2022465142088199, 0.2027408708262881, 0.20173607698274315, 0.20202286937914857, 0.20196004362281308, 0.2017335105653203]","[0.2243309115821665, 0.22480696981603449, 0.22491138902577487, 0.22492169521071695, 0.22492974319241263, 0.2253721383484927, 0.22466595741835507, 0.22505655071952127, 0.22590552405877548, 0.22534370151433078]"
"[0.20233299364464, 0.20232045281370845, 0.20245593676873302, 0.20216951895197596, 0.20229427379752518, 0.20192025369460428, 0.20192418869482268, 0.20174771451621976, 0.20127983186223092, 0.20145838769204025]","[0.22491776807741684, 0.22477596185424112, 0.22611373121088202, 0.22615547478199005, 0.2255030315030705, 0.22568350623954425, 0.22620380060239273, 0.2261900712143291, 0.22602944211526352, 0.22469296780499545]"
